,0,1,2,3,4,5,6,7,8,val
419, , , , , ,O,X, ,X,0.7630063694597904
420,O,X, , , ,O,X, , ,0.6371660769209023
421, ,X,O, , ,O,X, , ,0.13224159800048796
422, ,X, ,O, ,O,X, , ,0.37510156249999993
423, ,X, , ,O,O,X, , ,0.21808723673114552
424, ,X, , , ,O,X,O, ,0.6391286081504821
425, ,X, , , ,O,X, ,O,0.08161279296875001
426,O,X,X, , ,O,X, , ,-0.6537067456245421
427,O,X, ,X, ,O,X, , ,-0.39112288782596577
428,O,X, , ,X,O,X, , ,0.8774755911095715
429,O,X, , , ,O,X,X, ,-0.045125
430,O,X, , , ,O,X, ,X,0.0
431,O,X,X,X, ,O,X, ,O,-0.31779541015625
432,O,X, ,X,X,O,X, ,O,-0.724560546875
433,O,X, ,X, ,O,X,X,O,-0.724560546875
434,O,X,O,X,X,O,X, ,O,-0.9999246606807095
435,O,X, ,X,X,O,X,O,O,0.9499999461386937
436,O,X, ,X, ,O,X, ,O,-0.441090319223702
437, ,X, ,O,X, , , , ,0.5332608901726849
438, , ,X,O,X, , , , ,0.06218581468119627
439, , , ,O,X,X, , , ,-0.02450054793318457
440, , , ,O,X, ,X, , ,0.810050876356279
441, , , ,O,X, , ,X, ,0.6139680215648741
442, , , ,O,X, , , ,X,0.267146157481964
443,O, , ,O,X, , , ,X,0.2746267175879725
444, ,O, ,O,X, , , ,X,0.8537497762184753
445, , ,O,O,X, , , ,X,0.8501150418190051
446, , , ,O,X,O, , ,X,0.8814735655915736
447, , , ,O,X, ,O, ,X,0.8759114693336232
448, , , ,O,X, , ,O,X,0.9419543612555716
449,X, , ,O,X,O, , ,X,0.9986621449632622
450, ,X, ,O,X,O, , ,X,0.7527333709967062
451, , ,X,O,X,O, , ,X,0.8810590692237019
452, , , ,O,X,O,X, ,X,0.225625
453, , , ,O,X,O, ,X,X,0.18384912109375
454, ,X, ,O,X,O,O,X,X,0.9577648639678955
455, ,X, ,O,X,O,O, ,X,0.8231903076171875
456, , , ,O,X, , , , ,0.7708518263726513
457,O, , , ,X, , , , ,-0.11453818568412755
458, ,O, , ,X, , , , ,0.7880158803589818
459, , ,O, ,X, , , , ,0.21435698056594307
460, , , , ,X,O, , , ,0.7738433434717584
461, , , , ,X, ,O, , ,0.4213446386018955
462, , , , ,X, , ,O, ,0.7121265479229504
463, , , , ,X, , , ,O,0.31590323066713055
464,O,X, , ,X, , , , ,-0.10785624087332107
465,O, ,X, ,X, , , , ,-0.2143393692508446
466,O, , ,X,X, , , , ,-0.1934452343521808
467,O, , , ,X, ,X, , ,-0.21434374999999997
468,O, , , ,X, , , ,X,-0.05086362473065286
469,O,O, , ,X, , , ,X,0.3986671017953007
470,O, ,O, ,X, , , ,X,3.4787813730891254e-05
471,O, , , ,X,O, , ,X,0.4743326152843861
472,O, , , ,X, ,O, ,X,-0.053540667206157584
